N,P,K,ph,ec,fertility
326,11.8,444,8.02,0.75,1
358,12.5,581,7.42,0.85,1
314,6.6,444,7.23,0.28,1
301,9.4,517,8.1,0.38,1
220,9,454,7.29,0.84,1
276,12.9,401,7.35,0.85,1
282,13.2,433,7.34,0.59,1
264,12.1,560,7.9,0.63,1
195,94.3,539,7.49,0.42,0
188,92.1,444,7.34,0.43,0
226,89.9,422,7.37,0.62,1
213,96.5,729,7.41,0.38,1
201,89.9,454,7.43,0.53,1
207,76.8,465,7.52,0.69,1
220,122.8,760,7.35,0.67,1
276,94.3,486,7.47,0.41,1
226,103.1,612,8.19,0.63,1
207,94.3,813,7.38,0.34,1
270,114,655,7.35,0.39,1
295,107.5,644,8.02,0.42,1
238,83.3,412,7.42,0.72,1
207,94.3,444,7.23,0.49,1
182,92.1,465,8.1,0.68,0
232,87.7,665,7.29,0.75,1
289,107.5,475,7.35,0.43,1
195,125,507,7.34,0.56,2
207,107.5,391,7.29,0.58,1
238,98.7,623,7.28,0.44,1
201,114,834,7.25,0.43,1
345,96.5,422,7.37,0.62,2
238,103.1,454,7.41,0.46,1
201,105.3,444,7.28,0.43,1
232,98.7,454,7.45,0.44,1
314,83.3,486,7.41,0.8,2
195,94.3,813,7.33,0.74,0
226,92.1,655,7.29,0.72,1
238,114,708,7.43,0.59,1
182,89.9,454,7.55,0.48,0
182,92.1,697,7.38,0.83,0
213,107.5,612,7.37,0.45,1
226,87.7,708,7.34,0.39,1
213,120.6,623,7.41,0.42,1
333,10.7,444,7.43,0.73,1
238,7.7,454,7.41,0.88,0
201,9.4,697,7.4,0.51,0
195,9.2,454,7.52,0.49,0
270,8.1,444,7.55,0.53,1
195,8.8,454,7.47,0.53,0
213,10.7,771,7.29,0.52,0
201,8.3,697,7.48,0.81,0
232,10.7,760,7.35,0.53,0
226,9.2,454,7.44,0.76,0
257,7.5,444,7.47,0.49,0
245,8.3,507,7.42,0.71,0
245,11.4,549,7.65,0.49,0
264,9,486,7.24,0.47,1
276,9.2,370,7.62,0.62,1
320,13.8,391,7.38,0.65,2
264,10.3,475,7.49,0.74,0
333,14.9,422,8.26,0.48,2
295,14.5,612,8.4,0.38,1
282,9.2,676,7.95,0.62,1
257,11.6,433,7.58,0.73,0
270,12.1,401,7.47,0.36,1
289,14.5,549,7.18,0.64,1
301,13.6,496,7.2,0.6,1
295,12.5,412,7.12,0.37,1
276,15.4,433,7.01,0.63,1
326,13.4,454,7.13,0.51,2
270,13.8,845,7,0.82,1
289,14.7,750,7.01,0.58,1
314,8.3,591,7,0.47,1
345,9.9,507,7,0.49,1
307,6.8,370,7.02,0.66,1
339,7.5,475,7,0.88,1
314,10.3,676,7.03,0.39,1
333,12.7,887,7.1,0.42,2
351,14.3,560,7.82,0.37,2
358,10.1,602,7.01,0.32,1
301,10.3,412,7,0.77,1
326,11.8,444,7.33,0.4,2
314,8.1,644,7.41,0.61,1
320,8.6,380,7.94,0.69,1
358,12.9,422,7.02,0.48,2
345,13.6,444,7.85,0.38,2
314,14.9,359,7.04,0.43,2
333,13.8,401,7.62,0.51,2
339,8.3,380,7.67,0.32,1
326,10.3,507,7.88,0.71,1
351,10.7,623,7.96,0.51,1
264,9,486,7.24,0.47,1
276,9.2,370,7.62,0.62,1
320,13.8,391,7.38,0.65,2
264,10.3,475,7.49,0.74,0
